UEFA CHAMPIONS LEAGUE COMPREHENSIVE STATISTICS (2022-2025)

SECTION 1: 2024-25 SEASON - LEAGUE PHASE STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Liverpool,8,7,0,1,17,5,12,21,Round of 16
2,Barcelona,8,6,1,1,28,13,15,19,Round of 16
3,Arsenal,8,6,1,1,16,3,13,19,Round of 16
4,Inter,8,6,1,1,11,1,10,19,Round of 16
5,Atletico Madrid,8,6,0,2,20,12,8,18,Round of 16
6,Bayer Leverkusen,8,5,1,2,15,7,8,16,Round of 16
7,Lille,8,5,1,2,17,10,7,16,Round of 16
8,Aston Villa,8,5,1,2,13,6,7,16,Round of 16
9,Atalanta,8,4,3,1,20,6,14,15,Round of 16
10,Borussia Dortmund,8,5,0,3,22,12,10,15,Round of 16
11,Real Madrid,8,5,0,3,20,12,8,15,Round of 16
12,Bayern Munich,8,5,0,3,20,12,8,15,Round of 16
13,AC Milan,8,5,0,3,14,11,3,15,Round of 16
14,PSV Eindhoven,8,4,2,2,16,12,4,14,Knockout phase play-offs
15,Paris Saint-Germain,8,4,1,3,14,9,5,13,Knockout phase play-offs
16,Benfica,8,4,1,3,16,12,4,13,Knockout phase play-offs
17,Monaco,8,4,1,3,13,13,0,13,Knockout phase play-offs
18,Brest,8,4,1,3,10,11,-1,13,Knockout phase play-offs
19,Feyenoord,8,4,1,3,18,21,-3,13,Knockout phase play-offs
20,Juventus,8,3,3,2,9,7,2,12,Knockout phase play-offs

SECTION 2: 2023-24 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Real Madrid,12,9,1,2,27,13,14,28,Winners
2,Bayern Munich,10,8,1,1,22,6,16,25,Semi-finals
3,Borussia Dortmund,10,6,2,2,15,9,6,20,Finalists
4,Paris Saint-Germain,10,5,2,3,19,14,5,17,Semi-finals
5,Manchester City,8,6,0,2,18,7,11,18,Quarter-finals
6,Arsenal,8,4,1,3,16,4,12,13,Quarter-finals
7,Atletico Madrid,8,4,2,2,17,6,11,14,Quarter-finals
8,Barcelona,8,4,0,4,12,6,6,12,Quarter-finals
9,Inter,8,3,3,2,8,5,3,12,Round of 16
10,RB Leipzig,8,4,0,4,13,10,3,12,Round of 16
11,Napoli,8,3,1,4,10,9,1,10,Round of 16
12,PSV Eindhoven,8,2,3,3,8,10,-2,9,Round of 16
13,Lazio,8,3,1,4,7,7,0,10,Round of 16
14,Copenhagen,8,2,2,4,8,8,0,8,Round of 16
15,Porto,8,4,0,4,15,8,7,12,Round of 16
16,Real Sociedad,8,3,3,2,7,2,5,12,Round of 16
17,AC Milan,8,3,1,4,12,7,5,10,Round of 16
18,Galatasaray,6,1,2,3,10,13,-3,5,Group Stage
19,Newcastle United,6,1,2,3,6,7,-1,5,Group Stage
20,Manchester United,6,1,1,4,12,15,-3,4,Group Stage

SECTION 3: 2022-23 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Manchester City,13,8,5,0,32,5,27,29,Winners
2,Inter,13,7,3,3,19,11,8,24,Finalists
3,Real Madrid,12,8,2,2,26,13,13,26,Semi-finals
4,AC Milan,12,5,3,4,15,11,4,18,Semi-finals
5,Bayern Munich,10,8,1,1,22,6,16,25,Quarter-finals
6,Napoli,10,7,1,2,26,8,18,22,Quarter-finals
7,Benfica,10,6,3,1,26,13,13,21,Quarter-finals
8,Chelsea,10,5,1,4,12,9,3,16,Quarter-finals
9,Liverpool,8,5,0,3,19,12,7,15,Round of 16
10,Paris Saint-Germain,8,4,2,2,16,10,6,14,Round of 16
11,Porto,8,4,1,3,12,8,4,13,Round of 16
12,RB Leipzig,8,4,1,3,14,17,-3,13,Round of 16
13,Borussia Dortmund,8,3,3,2,11,7,4,12,Round of 16
14,Tottenham,8,3,3,2,8,7,1,12,Round of 16
15,Club Brugge,8,3,2,3,8,11,-3,11,Round of 16
16,Eintracht Frankfurt,8,3,1,4,7,13,-6,10,Round of 16
17,Barcelona,6,2,1,3,12,12,0,7,Group Stage
18,Atletico Madrid,6,1,2,3,5,9,-4,5,Group Stage
19,Ajax,6,2,0,4,11,16,-5,6,Group Stage
20,Juventus,6,1,0,5,9,13,-4,3,Group Stage

SECTION 4: 2024-25 SEASON - ALL LEAGUE PHASE MATCH RESULTS
Matchday,Date,Home Team,Away Team,Score,Winner
H,2,2023-10-04,Porto,Barcelona,'0-1,Barcelona
H,3,2023-10-25,Barcelona,Shakhtar Donetsk,'2-1,Barcelona
H,3,2023-10-25,Antwerp,Porto,'1-4,Porto
H,4,2023-11-07,Porto,Antwerp,'2-0,Porto
H,4,2023-11-07,Shakhtar Donetsk,Barcelona,'1-0,Shakhtar Donetsk
H,5,2023-11-28,Shakhtar Donetsk,Antwerp,'1-0,Shakhtar Donetsk
H,5,2023-11-28,Barcelona,Porto,'2-1,Barcelona
H,6,2023-12-13,Porto,Shakhtar Donetsk,'5-3,Porto
H,6,2023-12-13,Antwerp,Barcelona,'3-2,Antwerp

SECTION 7: 2023-24 SEASON - KNOCKOUT STAGE RESULTS
Round,Date,Home Team,Away Team,Score,Aggregate,Winner
Round of 16,2024-02-13,Copenhagen,Manchester City,'1-3,'2-6,Manchester City
Round of 16,2024-02-13,RB Leipzig,Real Madrid,'0-1,'1-2,Real Madrid
Round of 16,2024-02-14,Paris Saint-Germain,Real Sociedad,'2-0,'4-1,Paris Saint-Germain
Round of 16,2024-02-14,Lazio,Bayern Munich,'1-0,'1-3,Bayern Munich
Round of 16,2024-02-20,Inter,Atletico Madrid,'1-0,'2-2 (3-2 pens),Inter
Round of 16,2024-02-20,PSV Eindhoven,Borussia Dortmund,'1-1,'2-3,Borussia Dortmund
Round of 16,2024-02-21,Porto,Arsenal,'1-0,'2-4,Arsenal
Round of 16,2024-02-21,Napoli,Barcelona,'1-1,'2-4,Barcelona
Quarter-final,2024-04-09,Arsenal,Bayern Munich,'2-2,'2-3,Bayern Munich
Quarter-final,2024-04-09,Real Madrid,Manchester City,'3-3,'4-4 (4-3 pens),Real Madrid
Quarter-final,2024-04-10,Atletico Madrid,Borussia Dortmund,'2-1,'4-5,Borussia Dortmund
Quarter-final,2024-04-10,Barcelona,Paris Saint-Germain,'3-2,'4-6,Paris Saint-Germain
Semi-final,2024-04-30,Bayern Munich,Real Madrid,'2-2,'3-4,Real Madrid
Semi-final,2024-05-01,Borussia Dortmund,Paris Saint-Germain,'1-0,'2-0,Borussia Dortmund
Final,2024-06-01,Borussia Dortmund,Real Madrid,'0-2,,Real Madrid

SECTION 8: 2022-23 SEASON - ALL GROUP STAGE MATCH RESULTS
Group,Matchday,Date,Home Team,Away Team,Score,Winner
A,1,2022-09-07,Ajax,Rangers,'4-0,Ajax
A,1,2022-09-07,Napoli,Liverpool,'4-1,Napoli
A,2,2022-09-13,Liverpool,Ajax,'2-1,Liverpool
A,2,2022-09-14,Rangers,Napoli,'0-3,Napoli
A,3,2022-10-04,Ajax,Napoli,'1-6,Napoli
A,3,2022-10-04,Liverpool,Rangers,'2-0,Liverpool
A,4,2022-10-12,Napoli,Ajax,'4-2,Napoli
A,4,2022-10-12,Rangers,Liverpool,'1-7,Liverpool
A,5,2022-10-26,Ajax,Liverpool,'0-3,Liverpool
A,5,2022-10-26,Napoli,Rangers,'3-0,Napoli
A,6,2022-11-01,Liverpool,Napoli,'2-0,Liverpool
A,6,2022-11-01,Rangers,Ajax,'1-3,Ajax
B,1,2022-09-07,Club Brugge,Bayer Leverkusen,'1-0,Club Brugge
B,1,2022-09-07,Atletico Madrid,Porto,'2-1,Atletico Madrid
B,2,2022-09-13,Porto,Club Brugge,'0-4,Club Brugge
B,2,2022-09-13,Bayer Leverkusen,Atletico Madrid,'2-0,Bayer Leverkusen
B,3,2022-10-04,Porto,Bayer Leverkusen,'2-0,Porto
B,3,2022-10-04,Club Brugge,Atletico Madrid,'2-0,Club Brugge
B,4,2022-10-12,Atletico Madrid,Club Brugge,'0-0,Draw
B,4,2022-10-12,Bayer Leverkusen,Porto,'0-3,Porto
B,5,2022-10-26,Club Brugge,Porto,'0-4,Porto
B,5,2022-10-26,Atletico Madrid,Bayer Leverkusen,'2-2,Draw
B,6,2022-11-01,Porto,Atletico Madrid,'2-1,Porto
B,6,2022-11-01,Bayer Leverkusen,Club Brugge,'0-0,Draw
C,1,2022-09-07,Barcelona,Viktoria Plzen,'5-1,Barcelona
C,1,2022-09-07,Inter,Bayern Munich,'0-2,Bayern Munich
C,2,2022-09-13,Viktoria Plzen,Inter,'0-2,Inter
C,2,2022-09-13,Bayern Munich,Barcelona,'2-0,Bayern Munich
C,3,2022-10-04,Bayern Munich,Viktoria Plzen,'5-0,Bayern Munich
C,3,2022-10-04,Inter,Barcelona,'1-0,Inter
C,4,2022-10-12,Barcelona,Inter,'3-3,Draw
C,4,2022-10-12,Viktoria Plzen,Bayern Munich,'2-4,Bayern Munich
C,5,2022-10-26,Inter,Viktoria Plzen,'4-0,Inter
C,5,2022-10-26,Barcelona,Bayern Munich,'0-3,Bayern Munich
C,6,2022-11-01,Bayern Munich,Inter,'2-0,Bayern Munich
C,6,2022-11-01,Viktoria Plzen,Barcelona,'2-4,Barcelona
D,1,2022-09-07,Eintracht Frankfurt,Sporting CP,'0-3,Sporting CP
D,1,2022-09-07,Tottenham,Marseille,'2-0,Tottenham
D,2,2022-09-13,Sporting CP,Tottenham,'2-0,Sporting CP
D,2,2022-09-13,Marseille,Eintracht Frankfurt,'0-1,Eintracht Frankfurt
D,3,2022-10-04,Marseille,Sporting CP,'4-1,Marseille
D,3,2022-10-04,Eintracht Frankfurt,Tottenham,'0-0,Draw
D,4,2022-10-12,Tottenham,Eintracht Frankfurt,'3-2,Tottenham
D,4,2022-10-12,Sporting CP,Marseille,'0-2,Marseille
D,5,2022-10-26,Eintracht Frankfurt,Marseille,'2-1,Eintracht Frankfurt
D,5,2022-10-26,Tottenham,Sporting CP,'1-1,Draw
D,6,2022-11-01,Sporting CP,Eintracht Frankfurt,'1-2,Eintracht Frankfurt
D,6,2022-11-01,Marseille,Tottenham,'1-2,Tottenham
E,1,2022-09-06,Dinamo Zagreb,Chelsea,'1-0,Dinamo Zagreb
E,1,2022-09-06,RB Salzburg,AC Milan,'1-1,Draw
E,2,2022-09-14,AC Milan,Dinamo Zagreb,'3-1,AC Milan
E,2,2022-09-14,Chelsea,RB Salzburg,'1-1,Draw
E,3,2022-10-05,RB Salzburg,Dinamo Zagreb,'1-0,RB Salzburg
E,3,2022-10-05,Chelsea,AC Milan,'3-0,Chelsea
E,4,2022-10-11,Dinamo Zagreb,RB Salzburg,'1-1,Draw
E,4,2022-10-11,AC Milan,Chelsea,'0-2,Chelsea
E,5,2022-10-25,RB Salzburg,Chelsea,'1-2,Chelsea
E,5,2022-10-25,Dinamo Zagreb,AC Milan,'0-4,AC Milan
E,6,2022-11-02,AC Milan,RB Salzburg,'4-0,AC Milan
E,6,2022-11-02,Chelsea,Dinamo Zagreb,'2-1,Chelsea
F,1,2022-09-06,RB Leipzig,Shakhtar Donetsk,'1-4,Shakhtar Donetsk
F,1,2022-09-06,Celtic,Real Madrid,'0-3,Real Madrid
F,2,2022-09-14,Shakhtar Donetsk,Celtic,'1-1,Draw
F,2,2022-09-14,Real Madrid,RB Leipzig,'2-0,Real Madrid
F,3,2022-10-05,RB Leipzig,Celtic,'3-1,RB Leipzig
F,3,2022-10-05,Real Madrid,Shakhtar Donetsk,'2-1,Real Madrid
F,4,2022-10-11,Shakhtar Donetsk,Real Madrid,'1-1,Draw
F,4,2022-10-11,Celtic,RB Leipzig,'0-2,RB Leipzig
F,5,2022-10-25,Celtic,Shakhtar Donetsk,'1-1,Draw
F,5,2022-10-25,RB Leipzig,Real Madrid,'3-2,RB Leipzig
F,6,2022-11-02,Real Madrid,Celtic,'5-1,Real Madrid
F,6,2022-11-02,Shakhtar Donetsk,RB Leipzig,'0-4,RB Leipzig
G,1,2022-09-06,Borussia Dortmund,Copenhagen,'3-0,Borussia Dortmund
G,1,2022-09-06,Sevilla,Manchester City,'0-4,Manchester City
G,2,2022-09-14,Manchester City,Borussia Dortmund,'2-1,Manchester City
G,2,2022-09-14,Copenhagen,Sevilla,'0-0,Draw
G,3,2022-10-05,Manchester City,Copenhagen,'5-0,Manchester City
G,3,2022-10-05,Sevilla,Borussia Dortmund,'1-4,Borussia Dortmund
G,4,2022-10-11,Copenhagen,Manchester City,'0-0,Draw
G,4,2022-10-11,Borussia Dortmund,Sevilla,'1-1,Draw
G,5,2022-10-25,Sevilla,Copenhagen,'3-0,Sevilla
G,5,2022-10-25,Borussia Dortmund,Manchester City,'0-0,Draw
G,6,2022-11-02,Copenhagen,Borussia Dortmund,'1-1,Draw
G,6,2022-11-02,Manchester City,Sevilla,'3-1,Manchester City
H,1,2022-09-06,Paris Saint-Germain,Juventus,'2-1,Paris Saint-Germain
H,1,2022-09-06,Benfica,Maccabi Haifa,'2-0,Benfica
H,2,2022-09-14,Juventus,Benfica,'1-2,Benfica
H,2,2022-09-14,Maccabi Haifa,Paris Saint-Germain,'1-3,Paris Saint-Germain
H,3,2022-10-05,Juventus,Maccabi Haifa,'3-1,Juventus
H,3,2022-10-05,Benfica,Paris Saint-Germain,'1-1,Draw
H,4,2022-10-11,Maccabi Haifa,Juventus,'2-0,Maccabi Haifa
H,4,2022-10-11,Paris Saint-Germain,Benfica,'1-1,Draw
H,5,2022-10-25,Paris Saint-Germain,Maccabi Haifa,'7-2,Paris Saint-Germain
H,5,2022-10-25,Benfica,Juventus,'4-3,Benfica
H,6,2022-11-02,Maccabi Haifa,Benfica,'1-6,Benfica
H,6,2022-11-02,Juventus,Paris Saint-Germain,'1-2,Paris Saint-Germain

SECTION 9: 2022-23 SEASON - KNOCKOUT STAGE RESULTS
Round,Date,Home Team,Away Team,Score,Aggregate,Winner
Round of 16,2023-02-14,AC Milan,Tottenham,'1-0,'1-0,AC Milan
Round of 16,2023-02-14,Paris Saint-Germain,Bayern Munich,'0-1,'0-3,Bayern Munich
Round of 16,2023-02-15,Club Brugge,Benfica,'0-2,'1-7,Benfica
Round of 16,2023-02-15,Borussia Dortmund,Chelsea,'1-0,'2-1,Borussia Dortmund
Round of 16,2023-02-21,Liverpool,Real Madrid,'2-5,'2-6,Real Madrid
Round of 16,2023-02-21,Eintracht Frankfurt,Napoli,'0-2,'0-5,Napoli
Round of 16,2023-02-22,RB Leipzig,Manchester City,'1-1,'1-8,Manchester City
Round of 16,2023-02-22,Inter,Porto,'1-0,'1-0,Inter
Quarter-final,2023-04-11,Benfica,Inter,'0-2,'3-5,Inter
Quarter-final,2023-04-11,Manchester City,Bayern Munich,'3-0,'4-1,Manchester City
Quarter-final,2023-04-12,Real Madrid,Chelsea,'2-0,'4-0,Real Madrid
Quarter-final,2023-04-12,AC Milan,Napoli,'1-0,'2-1,AC Milan
Semi-final,2023-05-09,Real Madrid,Manchester City,'1-1,'1-5,Manchester City
Semi-final,2023-05-10,AC Milan,Inter,'0-2,'0-3,Inter
Final,2023-06-10,Manchester City,Inter,'1-0,,Manchester City

SECTION 10: 2024-25 SEASON - TOP 15 GOAL SCORERS & ASSISTS
Rank,Player,Team,Goals,Assists,Matches
1,Raphinha,Barcelona,13,9,14
2,Serhou Guirassy,Borussia Dortmund,13,4,14
3,Harry Kane,Bayern Munich,11,2,13
4,Robert Lewandowski,Barcelona,11,2,12
5,Lautaro Martinez,Inter,9,1,14
6,Vinicius Junior,Real Madrid,8,3,12
7,Ousmane Dembele,Paris Saint-Germain,8,6,15
8,Kylian Mbappe,Real Madrid,7,2,14
9,Erling Haaland,Manchester City,7,1,9
10,Jamal Musiala,Bayern Munich,7,4,12
11,Ademola Lookman,Atalanta,6,2,9
12,Jude Bellingham,Real Madrid,5,3,13
13,Mohamed Salah,Liverpool,5,4,9
14,Bukayo Saka,Arsenal,5,2,9
15,Gabriel Martinelli,Arsenal,5,1,10

SECTION 11: 2023-24 SEASON - TOP 15 GOAL SCORERS & ASSISTS
Rank,Player,Team,Goals,Assists,Matches
1,Harry Kane,Bayern Munich,8,3,10
2,Erling Haaland,Manchester City,6,1,8
3,Kylian Mbappe,Paris Saint-Germain,6,2,10
4,Antoine Griezmann,Atletico Madrid,6,2,8
5,Vinicius Junior,Real Madrid,6,5,12
6,Jude Bellingham,Real Madrid,5,5,11
7,Julian Alvarez,Manchester City,5,2,8
8,Rodrygo,Real Madrid,5,3,11
9,Phil Foden,Manchester City,5,2,8
10,Niclas Fullkrug,Borussia Dortmund,5,2,10
11,Lois Openda,RB Leipzig,5,1,8
12,Raphinha,Barcelona,4,4,8
13,Bukayo Saka,Arsenal,4,4,8
14,Marcel Sabitzer,Borussia Dortmund,4,5,10
15,Gabriel Jesus,Arsenal,4,2,8

SECTION 12: 2022-23 SEASON - TOP 15 GOAL SCORERS & ASSISTS
Rank,Player,Team,Goals,Assists,Matches
1,Erling Haaland,Manchester City,12,1,11
2,Mohamed Salah,Liverpool,8,2,8
3,Vinicius Junior,Real Madrid,7,6,12
4,Kylian Mbappe,Paris Saint-Germain,7,3,8
5,Joao Mario,Benfica,6,2,10
6,Olivier Giroud,AC Milan,5,2,12
7,Victor Osimhen,Napoli,5,1,8
8,Robert Lewandowski,Barcelona,5,0,6
9,Riyad Mahrez,Manchester City,4,2,10
10,Lautaro Martinez,Inter,4,2,13
11,Julian Alvarez,Manchester City,4,2,11
12,Karim Benzema,Real Madrid,4,1,8
13,Giovanni Simeone,Napoli,4,0,8
14,Leroy Sane,Bayern Munich,4,3,10
15,Eric Maxim Choupo-Moting,Bayern Munich,4,1,9

SECTION 13: 3-SEASON SUMMARY - TOP TEAMS PERFORMANCE OVERVIEW
Team,2022-23 Result,2023-24 Result,2024-25 Result,Total Matches,Total Goals
Real Madrid,Semi-finals,Winners,Round of 16,32,73
Manchester City,Winners,Quarter-finals,Knockout play-offs,29,68
Bayern Munich,Quarter-finals,Semi-finals,Round of 16,30,64
Inter,Finalists,Round of 16,Finalists,37,48
Borussia Dortmund,Round of 16,Finalists,Round of 16,30,58
Paris Saint-Germain,Round of 16,Semi-finals,Winners,32,59
Arsenal,-,Quarter-finals,Semi-finals,24,55
Barcelona,Group Stage,Quarter-finals,Semi-finals,24,62
Atletico Madrid,Group Stage,Quarter-finals,Round of 16,24,54
Liverpool,Round of 16,-,Round of 16,22,56
AC Milan,Semi-finals,Round of 16,Round of 16,32,41
Napoli,Quarter-finals,Round of 16,-,26,46
RB Leipzig,Round of 16,Round of 16,-,24,41
Chelsea,Quarter-finals,-,Round of 16,20,29
Benfica,Quarter-finals,-,Knockout play-offs,26,48
Juventus,Group Stage,-,Knockout play-offs,20,22
Porto,Round of 16,Round of 16,-,20,42
Tottenham,Round of 16,-,Round of 16,20,33
PSV Eindhoven,-,Round of 16,Round of 16,24,40
Aston Villa,-,-,Quarter-finals,14,30

